Date	AIG	AmerExp	ATT	Boeing	Disney	DuPont	GenMotor	HomeDepot	HP	IBM	JPMorgan	McDonald	Merck	Microsoft	Verison	Walmart
5-Jun-00	-0.024261195	0.031966813	0.038235294	0.024170883	0.006198347	-0.013969171	-0.025641026	-0.038140644	-0.019282754	-0.00396423	-0.016342573	-0.031691155	0.005797101	0.041311028	0.020032611	-0.017897877
6-Jun-00	0.007538685	0.066682431	-0.012747875	-0.033205269	-0.016940452	-0.001221299	0.022718667	0.003717472	0.038588754	0.076823399	-0.029863302	-0.020529604	0.013148415	0.012459016	0	-0.00625335
7-Jun-00	0.024678393	-0.002438484	0.007173601	-0.009650866	0.006266319	-0.006113964	-0.018696779	-0.013580247	0.027070064	-0.010314595	-0.001734229	-0.005164034	-0.016888889	-0.023963731	0.010504681	-0.017259978
8-Jun-00	0.001024853	0.032666667	0.007122507	0.026368587	0.027763363	0.00492126	-0.002829655	-0.03379224	0.016881998	-0.000521105	-0.004777416	-0.003358779	0.008137432	0	-0.012655367	-0.050676912
9-Jun-00	-0.017276683	-0.029266193	0.022347949	-0.027087406	-0.020449381	0.008325171	0.006432085	-0.045552677	-0.015585296	-0.007038582	-0.041675758	-0.010723039	0.000896861	-0.028201725	-0.002517739	-0.023125843
12-Jun-00	0.016799062	0.045222789	0.023519646	0.017795637	-0.012886598	-0.041282176	-0.009962406	0.074417553	-0.055584237	0.003938041	-0.005692168	-0.007122948	0.05	0.015022192	0.030289123	0.042611955
13-Jun-00	0.023309426	-0.025662778	0.013517167	0	0.01383812	0.013424519	-0.011011961	0.032842105	-0.041909621	-0.027806834	-0.008243646	0.016219588	-0.006656426	0.038681467	0.034966592	0.003405866
14-Jun-00	-0.006633292	-0.024379626	-0.004001067	0.040327129	0.030646407	0	-0.036859282	-0.002242152	0.026245721	0.006993634	0.038790118	-0.079496624	-0.001890034	0.026554404	-0.014202711	0.00678861
15-Jun-00	0.014363109	0.015841142	0.025441885	-0.027920846	-0.01924038	-0.011997001	-0.034682081	-0.021041879	-0.025203855	-0.030451429	-0.025116693	-0.007669223	-0.02478912	0.002523659	-0.026413447	-0.029218955
16-Jun-00	-0.042603403	0.041291456	0.041525202	-0.006413832	0.018343949	-0.010624842	0.026016932	0.00375626	0.034410646	0.062907521	-0.068855449	-0.019153226	0.014827891	0.015733166	0.035201794	0.009261046
19-Jun-00	-0.003243383	-0.022147226	-0.026078235	0.007858546	-0.004503378	-0.018409614	-0.037029583	-0.022453222	-0.011211174	-0.033264213	0.03158668	0.011647825	-0.016524613	0.017038414	0.00758068	0.002294016
20-Jun-00	-0.021736301	-0.072044866	-0.029608651	0.012809802	0	-0.006772597	0.003970742	-0.006592939	0.025836431	-0.016087229	0.022549252	-0.025059262	0.022285108	0.076454462	-0.010963027	-0.010299447
21-Jun-00	0.006519425	0.038819154	0.005306447	-0.021721199	-0.006031666	-0.009703645	-0.032889259	-0.01391565	-0.007791267	-0.023435371	-0.019498607	0.005904828	-0.016435986	-0.009903792	0.024342534	-0.026787435
22-Jun-00	-0.004362194	0.009398076	-0.006598047	0.024170883	-0.045006321	0.009798729	0.02389152	0.002605297	-0.012235208	0.000465073	-0.013257576	0	0.019173263	-0.02743641	-0.014003819	0.023960396
23-Jun-00	0.02071163	-0.025493239	0.019925611	-0.003293085	0.021710352	-0.011014949	-0.020391003	-0.018189693	0.024588649	0.022777984	0.010796545	-0.005870166	0.022437004	0.02321481	-0.032709275	0
